Zone,Current Availability,Day of Week,time,month,Family Weekend,Home Football Game,Labor Day
29,31,0,11,9,0,0,1
31,8,0,11,9,0,0,1
33,13,0,11,9,0,0,1
35,12,0,11,9,0,0,1
37,14,0,11,9,0,0,1
38,17,0,11,9,0,0,1
22,1458,0,12,9,0,0,1
13,445,0,12,9,0,0,1
19,628,0,12,9,0,0,1
4,397,0,12,9,0,0,1
27,84,0,12,9,0,0,1
40,13,0,12,9,0,0,1
12,559,0,12,9,0,0,1
6,55,0,12,9,0,0,1
30,2,0,12,9,0,0,1
32,4,0,12,9,0,0,1
34,2,0,12,9,0,0,1
36,3,0,12,9,0,0,1
28,4,0,12,9,0,0,1
39,4,0,12,9,0,0,1
29,31,0,12,9,0,0,1
31,8,0,12,9,0,0,1
33,13,0,12,9,0,0,1
35,12,0,12,9,0,0,1
37,14,0,12,9,0,0,1
38,17,0,12,9,0,0,1
22,1458,0,13,9,0,0,1
13,445,0,13,9,0,0,1
19,628,0,13,9,0,0,1
4,397,0,13,9,0,0,1
27,84,0,13,9,0,0,1
40,13,0,13,9,0,0,1
12,559,0,13,9,0,0,1
6,55,0,13,9,0,0,1
30,2,0,13,9,0,0,1
32,4,0,13,9,0,0,1
34,2,0,13,9,0,0,1
36,3,0,13,9,0,0,1
28,4,0,13,9,0,0,1
39,4,0,13,9,0,0,1
29,31,0,13,9,0,0,1
31,8,0,13,9,0,0,1
33,13,0,13,9,0,0,1
35,12,0,13,9,0,0,1
37,14,0,13,9,0,0,1
38,17,0,13,9,0,0,1
22,1458,0,14,9,0,0,1
13,445,0,14,9,0,0,1
19,628,0,14,9,0,0,1
4,397,0,14,9,0,0,1
27,84,0,14,9,0,0,1
40,13,0,14,9,0,0,1
12,559,0,14,9,0,0,1
6,55,0,14,9,0,0,1
30,2,0,14,9,0,0,1
32,4,0,14,9,0,0,1
34,2,0,14,9,0,0,1
36,3,0,14,9,0,0,1
28,4,0,14,9,0,0,1
39,4,0,14,9,0,0,1
29,31,0,14,9,0,0,1
31,8,0,14,9,0,0,1
33,13,0,14,9,0,0,1
35,12,0,14,9,0,0,1
37,14,0,14,9,0,0,1
38,17,0,14,9,0,0,1
22,1458,0,15,9,0,0,1
13,445,0,15,9,0,0,1
19,628,0,15,9,0,0,1
4,397,0,15,9,0,0,1
27,84,0,15,9,0,0,1
40,13,0,15,9,0,0,1
12,559,0,15,9,0,0,1
6,55,0,15,9,0,0,1
30,2,0,15,9,0,0,1
32,4,0,15,9,0,0,1
34,2,0,15,9,0,0,1
36,3,0,15,9,0,0,1
28,4,0,15,9,0,0,1
39,4,0,15,9,0,0,1
29,31,0,15,9,0,0,1
31,8,0,15,9,0,0,1
33,13,0,15,9,0,0,1
35,12,0,15,9,0,0,1
37,14,0,15,9,0,0,1
38,17,0,15,9,0,0,1
22,1458,0,16,9,0,0,1
13,445,0,16,9,0,0,1
19,628,0,16,9,0,0,1
4,397,0,16,9,0,0,1
27,84,0,16,9,0,0,1
40,13,0,16,9,0,0,1
12,559,0,16,9,0,0,1
6,55,0,16,9,0,0,1
30,2,0,16,9,0,0,1
32,4,0,16,9,0,0,1
34,2,0,16,9,0,0,1
36,3,0,16,9,0,0,1
28,4,0,16,9,0,0,1
39,4,0,16,9,0,0,1
29,31,0,16,9,0,0,1
31,8,0,16,9,0,0,1
33,13,0,16,9,0,0,1
35,12,0,16,9,0,0,1
37,14,0,16,9,0,0,1
38,17,0,16,9,0,0,1
22,1458,0,17,9,0,0,1
13,445,0,17,9,0,0,1
19,628,0,17,9,0,0,1
4,396,0,17,9,0,0,1
27,84,0,17,9,0,0,1
40,13,0,17,9,0,0,1
12,559,0,17,9,0,0,1
6,55,0,17,9,0,0,1
30,2,0,17,9,0,0,1
32,4,0,17,9,0,0,1
34,2,0,17,9,0,0,1
36,3,0,17,9,0,0,1
28,4,0,17,9,0,0,1
39,4,0,17,9,0,0,1
29,31,0,17,9,0,0,1
31,8,0,17,9,0,0,1
33,13,0,17,9,0,0,1
35,12,0,17,9,0,0,1
37,14,0,17,9,0,0,1
38,17,0,17,9,0,0,1
22,1458,0,18,9,0,0,1
13,445,0,18,9,0,0,1
19,628,0,18,9,0,0,1
4,396,0,18,9,0,0,1
27,84,0,18,9,0,0,1
40,13,0,18,9,0,0,1
12,559,0,18,9,0,0,1
6,55,0,18,9,0,0,1
30,2,0,18,9,0,0,1
32,4,0,18,9,0,0,1
34,2,0,18,9,0,0,1
36,3,0,18,9,0,0,1
28,4,0,18,9,0,0,1
39,4,0,18,9,0,0,1
29,31,0,18,9,0,0,1
31,8,0,18,9,0,0,1
33,13,0,18,9,0,0,1
35,12,0,18,9,0,0,1
37,14,0,18,9,0,0,1
38,17,0,18,9,0,0,1
22,1458,0,19,9,0,0,1
13,445,0,19,9,0,0,1
19,628,0,19,9,0,0,1
4,396,0,19,9,0,0,1
27,84,0,19,9,0,0,1
40,13,0,19,9,0,0,1
12,559,0,19,9,0,0,1
6,55,0,19,9,0,0,1
30,2,0,19,9,0,0,1
32,4,0,19,9,0,0,1
34,2,0,19,9,0,0,1
36,3,0,19,9,0,0,1
28,4,0,19,9,0,0,1
39,4,0,19,9,0,0,1
29,31,0,19,9,0,0,1
31,8,0,19,9,0,0,1
33,13,0,19,9,0,0,1
35,12,0,19,9,0,0,1
37,14,0,19,9,0,0,1
38,17,0,19,9,0,0,1
22,1458,0,20,9,0,0,1
13,445,0,20,9,0,0,1
19,628,0,20,9,0,0,1
4,396,0,20,9,0,0,1
27,84,0,20,9,0,0,1
40,13,0,20,9,0,0,1
12,559,0,20,9,0,0,1
6,55,0,20,9,0,0,1
30,2,0,20,9,0,0,1
32,4,0,20,9,0,0,1
34,2,0,20,9,0,0,1
36,3,0,20,9,0,0,1
28,4,0,20,9,0,0,1
39,4,0,20,9,0,0,1
29,31,0,20,9,0,0,1
31,8,0,20,9,0,0,1
33,13,0,20,9,0,0,1
35,12,0,20,9,0,0,1
37,14,0,20,9,0,0,1
38,17,0,20,9,0,0,1
22,1458,0,21,9,0,0,1
13,445,0,21,9,0,0,1
19,628,0,21,9,0,0,1
4,396,0,21,9,0,0,1
27,84,0,21,9,0,0,1
40,13,0,21,9,0,0,1
12,559,0,21,9,0,0,1
6,55,0,21,9,0,0,1
30,2,0,21,9,0,0,1
32,4,0,21,9,0,0,1
34,2,0,21,9,0,0,1
36,3,0,21,9,0,0,1
28,4,0,21,9,0,0,1
39,4,0,21,9,0,0,1
29,31,0,21,9,0,0,1
31,8,0,21,9,0,0,1
33,13,0,21,9,0,0,1
35,12,0,21,9,0,0,1
37,14,0,21,9,0,0,1
38,17,0,21,9,0,0,1
22,1458,0,22,9,0,0,1
13,445,0,22,9,0,0,1
19,628,0,22,9,0,0,1
4,396,0,22,9,0,0,1
27,84,0,22,9,0,0,1
40,13,0,22,9,0,0,1
12,559,0,22,9,0,0,1
6,55,0,22,9,0,0,1
30,2,0,22,9,0,0,1
32,4,0,22,9,0,0,1
34,2,0,22,9,0,0,1
36,3,0,22,9,0,0,1
28,4,0,22,9,0,0,1
39,4,0,22,9,0,0,1
29,31,0,22,9,0,0,1
31,8,0,22,9,0,0,1
33,13,0,22,9,0,0,1
35,12,0,22,9,0,0,1
37,14,0,22,9,0,0,1
38,17,0,22,9,0,0,1
22,1458,0,23,9,0,0,1
13,445,0,23,9,0,0,1
19,628,0,23,9,0,0,1
4,396,0,23,9,0,0,1
27,84,0,23,9,0,0,1
40,13,0,23,9,0,0,1
12,559,0,23,9,0,0,1
6,55,0,23,9,0,0,1
30,2,0,23,9,0,0,1
32,4,0,23,9,0,0,1
34,2,0,23,9,0,0,1
36,3,0,23,9,0,0,1
28,4,0,23,9,0,0,1
39,4,0,23,9,0,0,1
29,31,0,23,9,0,0,1
31,8,0,23,9,0,0,1
33,13,0,23,9,0,0,1
35,12,0,23,9,0,0,1
37,14,0,23,9,0,0,1
38,17,0,23,9,0,0,1
22,1458,0,24,9,0,0,1
13,445,0,24,9,0,0,1
19,628,0,24,9,0,0,1
4,396,0,24,9,0,0,1
27,85,0,24,9,0,0,1
40,13,0,24,9,0,0,1
12,559,0,24,9,0,0,1
6,55,0,24,9,0,0,1
30,2,0,24,9,0,0,1
32,4,0,24,9,0,0,1
34,2,0,24,9,0,0,1
36,3,0,24,9,0,0,1
28,4,0,24,9,0,0,1
39,4,0,24,9,0,0,1
29,31,0,24,9,0,0,1
31,8,0,24,9,0,0,1
33,13,0,24,9,0,0,1
35,12,0,24,9,0,0,1
37,14,0,24,9,0,0,1
38,17,0,24,9,0,0,1
22,1458,0,25,9,0,0,1
13,445,0,25,9,0,0,1
19,628,0,25,9,0,0,1
4,396,0,25,9,0,0,1
27,85,0,25,9,0,0,1
40,13,0,25,9,0,0,1
12,559,0,25,9,0,0,1
6,55,0,25,9,0,0,1
30,2,0,25,9,0,0,1
32,4,0,25,9,0,0,1
34,2,0,25,9,0,0,1
36,3,0,25,9,0,0,1
28,4,0,25,9,0,0,1
39,4,0,25,9,0,0,1
29,31,0,25,9,0,0,1
31,8,0,25,9,0,0,1
33,13,0,25,9,0,0,1
35,12,0,25,9,0,0,1
37,14,0,25,9,0,0,1
38,17,0,25,9,0,0,1
22,1459,0,26,9,0,0,1
13,445,0,26,9,0,0,1
19,628,0,26,9,0,0,1
4,396,0,26,9,0,0,1
27,84,0,26,9,0,0,1
40,13,0,26,9,0,0,1
12,559,0,26,9,0,0,1
6,55,0,26,9,0,0,1
30,2,0,26,9,0,0,1
32,4,0,26,9,0,0,1
34,2,0,26,9,0,0,1
36,3,0,26,9,0,0,1
28,4,0,26,9,0,0,1
39,4,0,26,9,0,0,1
29,31,0,26,9,0,0,1
31,8,0,26,9,0,0,1
33,13,0,26,9,0,0,1
35,12,0,26,9,0,0,1
37,14,0,26,9,0,0,1
